Iteration,Pancake Values,Syrup Values,PancakeAndSyrup Values,,,
70,197,4,6111,,,
71,42,4,1306,,,
72,73,3,2266,,,
73,3,3,96,,,
74,104,4,3228,,,
75,5,3,158,,,
76,5,2,157,,,
77,2,3,65,,,
78,4,4,128,,,
79,4,2,126,,,
80,104,4,3228,,,
81,4,4,128,,,
82,104,2,3226,,,
83,1,2,33,,,
84,197,4,6111,,,
85,42,4,1306,,,
86,42,4,1306,,,
87,1,2,33,,,
88,3,4,97,,,
89,166,4,5150,,,
90,104,3,3227,,,
91,73,4,2267,,,
92,73,2,2265,,,
93,3,3,96,,,
94,73,4,2267,,,
95,6,2,188,,,
96,73,3,2266,,,
97,42,3,1305,,,
98,42,2,1304,,,
99,135,4,4189,,,
100,2,2,64,,,
101,104,2,3226,,,
102,1,3,34,,,
103,6,2,188,,,
104,42,3,1305,,,
105,104,4,3228,,,
106,4,3,127,,,
107,166,3,5149,,,
108,1,4,35,,,
109,73,4,2267,,,
110,197,2,6109,,,
111,6,3,189,,,
112,73,3,2266,,,
113,2,2,64,,,
114,104,4,3228,,,
115,42,3,1305,,,
116,104,4,3228,,,
117,3,3,96,,,
118,42,3,1305,,,
119,135,2,4187,,,
120,73,3,2266,,,
121,42,4,1306,,,
122,3,4,97,,,
123,5,3,158,,,
124,6,2,188,,,
125,42,2,1304,,,
126,5,2,157,,,
127,1,4,35,,,
128,104,4,3228,,,
129,135,3,4188,,,
130,42,3,1305,,,
131,197,3,6110,,,
132,104,4,3228,,,
133,5,2,157,,,
134,5,4,159,,,
135,42,2,1304,,,
136,4,4,128,,,
137,2,3,65,,,
138,4,3,127,,,
139,42,3,1305,,,
140,4,2,126,,,
141,3,3,96,,,
142,166,3,5149,,,
143,135,3,4188,,,
144,2,3,65,,,
145,6,3,189,,,
146,104,2,3226,,,
147,135,3,4188,,,
148,5,2,157,,,
149,197,4,6111,,,
150,6,2,188,,,
151,42,2,1304,,,
152,166,4,5150,,,
153,1,4,35,,,
154,104,3,3227,,,
155,73,3,2266,,,
156,197,3,6110,,,
157,1,4,35,,,
158,2,3,65,,,
159,166,2,5148,,,
160,197,4,6111,,,
161,104,4,3228,,,
162,42,4,1306,,,
163,2,2,64,,,
164,197,4,6111,,,
165,6,3,189,,,
166,3,2,95,,,
167,104,3,3227,,,
168,2,4,66,,,
169,166,4,5150,,,
170,1,3,34,,,
171,135,3,4188,,,
172,197,2,6109,,,
173,3,4,97,,,
174,42,4,1306,,,
175,197,3,6110,,,
176,166,3,5149,,,
177,42,4,1306,,,
178,166,3,5149,,,
179,5,4,159,,,
180,135,2,4187,,,
181,73,2,2265,,,
182,135,2,4187,,,
183,3,2,95,,,
184,135,4,4189,,,
185,1,2,33,,,
186,166,2,5148,,,
187,73,2,2265,,,
188,73,3,2266,,,
189,1,4,35,,,
190,73,3,2266,,,
191,4,4,128,,,
192,4,4,128,,,
193,6,4,190,,,
194,3,4,97,,,
195,3,4,97,,,
196,2,3,65,,,
197,42,3,1305,,,
198,2,4,66,,,
199,166,4,5150,,,
200,73,4,2267,,,
201,1,2,33,,,
202,166,3,5149,,,
203,73,3,2266,,,
204,1,4,35,,,
205,5,4,159,,,
206,197,3,6110,,,
207,3,4,97,,,
208,197,2,6109,,,
209,6,4,190,,,
210,135,3,4188,,,
211,42,4,1306,,,
212,3,4,97,,,
213,1,4,35,,,
214,2,2,64,,,
215,166,3,5149,,,
216,166,3,5149,,,
217,2,3,65,,,
218,1,2,33,,,
219,197,3,6110,,,
220,42,3,1305,,,
221,4,4,128,,,
222,6,3,189,,,
223,135,4,4189,,,
224,4,3,127,,,
225,4,2,126,,,
226,4,4,128,,,
227,6,2,188,,,
228,6,4,190,,,
229,2,2,64,,,
230,135,4,4189,,,
231,197,3,6110,,,
232,166,2,5148,,,
233,104,4,3228,,,
234,197,3,6110,,,
235,2,2,64,,,
236,3,2,95,,,
237,73,4,2267,,,
238,3,2,95,,,
239,166,4,5150,,,
240,2,2,64,,,
241,166,4,5150,,,
242,6,4,190,,,
243,5,2,157,,,
244,6,4,190,,,
245,42,4,1306,,,
246,104,3,3227,,,
247,1,2,33,,,
248,4,2,126,,,
249,73,3,2266,,,
250,2,2,64,,,
251,104,2,3226,,,
252,73,4,2267,,,
253,2,2,64,,,
254,135,4,4189,,,
255,104,3,3227,,,
256,6,2,188,,,
257,42,3,1305,,,
258,2,2,64,,,
259,6,3,189,,,
260,104,2,3226,,,
261,42,2,1304,,,
262,1,2,33,,,
263,197,3,6110,,,
264,1,3,34,,,
265,197,2,6109,,,
266,73,2,2265,,,
267,1,3,34,,,
268,166,2,5148,,,
269,5,3,158,,,
270,3,3,96,,,
271,42,2,1304,,,
272,42,4,1306,,,
273,2,2,64,,,
274,135,3,4188,,,
275,166,2,5148,,,
276,73,3,2266,,,
277,2,2,64,,,
278,5,4,159,,,
279,6,3,189,,,
280,1,4,35,,,
281,73,4,2267,,,
282,4,3,127,,,
283,42,4,1306,,,
284,197,2,6109,,,
285,73,2,2265,,,
286,135,4,4189,,,
287,166,2,5148,,,
288,73,2,2265,,,
289,1,3,34,,,
290,1,2,33,,,
291,166,2,5148,,,
292,1,4,35,,,
293,166,2,5148,,,
294,3,4,97,,,
295,166,4,5150,,,
296,3,3,96,,,
297,73,2,2265,,,
298,4,2,126,,,
299,73,3,2266,,,
300,197,2,6109,,,
301,73,3,2266,,,
302,4,3,127,,,
303,1,3,34,,,
304,42,4,1306,,,
305,197,4,6111,,,
306,42,2,1304,,,
307,166,2,5148,,,
308,6,2,188,,,
309,6,2,188,,,
310,1,3,34,,,
311,5,4,159,,,
312,166,3,5149,,,
313,6,2,188,,,
314,3,2,95,,,
315,6,2,188,,,
316,3,2,95,,,
317,135,4,4189,,,
318,104,2,3226,,,
319,5,2,157,,,
320,2,2,64,,,
321,197,3,6110,,,
322,166,2,5148,,,
323,3,3,96,,,
324,42,2,1304,,,
325,166,3,5149,,,
326,4,4,128,,,
327,73,2,2265,,,
328,5,2,157,,,
329,166,2,5148,,,
330,2,3,65,,,
331,2,2,64,,,
332,166,2,5148,,,
333,5,2,157,,,
334,2,4,66,,,
335,3,4,97,,,
336,42,3,1305,,,
337,42,3,1305,,,
338,42,4,1306,,,
339,1,4,35,,,
340,104,2,3226,,,
341,1,3,34,,,
342,73,4,2267,,,
343,2,3,65,,,
344,5,3,158,,,
345,1,3,34,,,
346,42,2,1304,,,
347,6,4,190,,,
348,4,3,127,,,
349,4,2,126,,,
350,197,4,6111,,,
351,5,4,159,,,
352,197,2,6109,,,
353,135,3,4188,,,
354,6,2,188,,,
355,3,4,97,,,
356,197,4,6111,,,
357,73,2,2265,,,
358,5,3,158,,,
359,5,3,158,,,
360,135,3,4188,,,
361,73,2,2265,,,
362,166,4,5150,,,
363,2,3,65,,,
364,6,3,189,,,
365,5,3,158,,,
366,6,3,189,,,
367,1,3,34,,,
368,3,3,96,,,
369,135,2,4187,,,
370,2,2,64,,,
371,197,4,6111,,,
372,1,3,34,,,
373,104,2,3226,,,
374,104,4,3228,,,
375,1,2,33,,,
376,3,3,96,,,
377,5,3,158,,,
378,2,2,64,,,
379,3,4,97,,,
380,6,3,189,,,
381,197,4,6111,,,
382,5,2,157,,,
383,4,2,126,,,
384,4,2,126,,,
385,4,3,127,,,
386,6,3,189,,,
387,2,3,65,,,
388,5,4,159,,,
389,166,4,5150,,,
390,135,2,4187,,,
391,73,3,2266,,,
392,42,3,1305,,,
393,1,2,33,,,
394,42,3,1305,,,
395,4,2,126,,,
396,197,2,6109,,,
397,166,3,5149,,,
398,135,4,4189,,,
399,42,3,1305,,,
400,104,2,3226,,,
401,5,4,159,,,
402,1,3,34,,,
403,3,3,96,,,
404,135,4,4189,,,
405,197,3,6110,,,
406,2,3,65,,,
407,73,3,2266,,,
408,5,4,159,,,
409,1,3,34,,,
410,3,3,96,,,
411,4,3,127,,,
412,1,2,33,,,
413,166,3,5149,,,
414,2,4,66,,,
415,2,4,66,,,
416,197,2,6109,,,
417,197,2,6109,,,
418,166,4,5150,,,
419,166,3,5149,,,
420,166,2,5148,,,
421,2,3,65,,,
422,5,4,159,,,
423,104,4,3228,,,
424,5,2,157,,,
425,1,2,33,,,
426,42,4,1306,,,
427,4,2,126,,,
428,42,3,1305,,,
429,3,3,96,,,
430,6,4,190,,,
431,135,3,4188,,,
432,1,3,34,,,
433,6,2,188,,,
434,5,4,159,,,
435,135,3,4188,,,
436,166,3,5149,,,
437,73,2,2265,,,
438,4,4,128,,,
439,135,3,4188,,,
440,6,2,188,,,
441,6,4,190,,,
442,5,4,159,,,
443,6,4,190,,,
444,73,4,2267,,,
445,42,2,1304,,,
446,3,3,96,,,
447,104,3,3227,,,
448,4,4,128,,,
449,42,2,1304,,,
450,73,4,2267,,,
451,104,3,3227,,,
452,104,3,3227,,,
453,42,2,1304,,,
454,6,4,190,,,
455,166,2,5148,,,
456,5,3,158,,,
457,5,3,158,,,
458,3,4,97,,,
459,135,3,4188,,,
460,2,4,66,,,
461,135,4,4189,,,
462,42,4,1306,,,
463,135,4,4189,,,
464,104,3,3227,,,
465,197,4,6111,,,
466,4,4,128,,,
467,6,3,189,,,
468,3,3,96,,,
469,6,3,189,,,
470,3,3,96,,,
471,4,4,128,,,
472,5,4,159,,,
473,1,3,34,,,
474,3,3,96,,,
475,73,3,2266,,,
476,4,2,126,,,
477,4,3,127,,,
478,166,4,5150,,,
479,135,4,4189,,,
480,197,3,6110,,,
481,42,2,1304,,,
482,4,3,127,,,
483,2,4,66,,,
484,104,2,3226,,,
485,4,3,127,,,
486,73,2,2265,,,
487,135,2,4187,,,
488,5,4,159,,,
489,5,3,158,,,
490,1,4,35,,,
491,3,3,96,,,
492,197,2,6109,,,
493,3,2,95,,,
494,166,4,5150,,,
495,166,3,5149,,,
496,5,2,157,,,
497,3,2,95,,,
498,197,2,6109,,,
499,3,4,97,,,
500,197,4,6111,,,
501,1,2,33,,,
502,197,4,6111,,,
503,5,4,159,,,
504,4,3,127,,,
505,6,3,189,,,
506,5,2,157,,,
507,73,2,2265,,,
508,104,4,3228,,,
509,1,3,34,,,
510,104,2,3226,,,
511,166,2,5148,,,
512,166,3,5149,,,
513,2,2,64,,,
514,3,2,95,,,
515,5,3,158,,,
516,2,3,65,,,
517,2,2,64,,,
518,197,2,6109,,,
519,3,3,96,,,
520,5,3,158,,,
521,1,3,34,,,
522,1,4,35,,,
523,73,4,2267,,,
524,42,3,1305,,,
525,197,2,6109,,,
526,197,3,6110,,,
527,104,4,3228,,,
528,104,2,3226,,,
529,166,4,5150,,,
530,42,4,1306,,,
531,4,4,128,,,
532,42,4,1306,,,
533,166,2,5148,,,
534,42,2,1304,,,
535,42,2,1304,,,
536,197,3,6110,,,
537,166,3,5149,,,
538,1,3,34,,,
539,42,4,1306,,,
540,42,3,1305,,,
541,197,3,6110,,,
542,166,4,5150,,,
543,1,2,33,,,
544,166,4,5150,,,
545,135,3,4188,,,
546,73,3,2266,,,
547,4,3,127,,,
548,6,4,190,,,
549,2,3,65,,,
550,42,4,1306,,,
551,42,2,1304,,,
552,5,3,158,,,
553,1,3,34,,,
554,135,3,4188,,,
555,2,3,65,,,
556,3,2,95,,,
557,197,2,6109,,,
558,2,3,65,,,
559,104,3,3227,,,
560,135,3,4188,,,
561,42,4,1306,,,
562,166,2,5148,,,
563,197,4,6111,,,
564,135,3,4188,,,
565,5,3,158,,,
566,4,2,126,,,
567,135,3,4188,,,
568,3,2,95,,,
569,3,2,95,,,
570,104,3,3227,,,
571,2,2,64,,,
572,2,2,64,,,
573,1,4,35,,,
574,4,4,128,,,
575,6,3,189,,,
576,166,2,5148,,,
577,73,3,2266,,,
578,1,4,35,,,
579,104,4,3228,,,
580,3,4,97,,,
581,135,2,4187,,,
582,2,4,66,,,
583,3,3,96,,,
584,6,4,190,,,
585,135,4,4189,,,
586,135,2,4187,,,
587,3,2,95,,,
588,5,2,157,,,
589,2,3,65,,,
590,104,4,3228,,,
591,73,3,2266,,,
592,6,3,189,,,
593,73,2,2265,,,
594,166,2,5148,,,
595,73,2,2265,,,
596,135,2,4187,,,
597,135,3,4188,,,
598,1,4,35,,,
599,104,3,3227,,,
600,4,2,126,,,
601,2,4,66,,,
602,73,2,2265,,,
603,135,4,4189,,,
604,135,4,4189,,,
605,166,2,5148,,,
606,5,2,157,,,
607,3,2,95,,,
608,6,4,190,,,
609,166,3,5149,,,
610,166,2,5148,,,
611,135,4,4189,,,
612,166,2,5148,,,
613,6,2,188,,,
614,135,4,4189,,,
615,1,3,34,,,
616,197,4,6111,,,
617,197,4,6111,,,
618,197,4,6111,,,
619,73,2,2265,,,
620,2,3,65,,,
621,5,4,159,,,
622,6,3,189,,,
623,104,3,3227,,,
624,3,3,96,,,
625,197,4,6111,,,
626,2,2,64,,,
627,197,4,6111,,,
628,104,2,3226,,,
629,1,2,33,,,
630,166,4,5150,,,
631,4,2,126,,,
632,6,2,188,,,
633,2,4,66,,,
634,73,4,2267,,,
635,104,2,3226,,,
636,135,3,4188,,,
637,166,2,5148,,,
638,166,4,5150,,,
639,42,4,1306,,,
640,135,2,4187,,,
641,166,2,5148,,,
642,197,4,6111,,,
643,42,4,1306,,,
644,166,4,5150,,,
645,5,2,157,,,
646,42,2,1304,,,
647,1,2,33,,,
648,2,4,66,,,
649,166,3,5149,,,
650,197,3,6110,,,
651,3,3,96,,,
652,42,2,1304,,,
653,5,3,158,,,
654,135,2,4187,,,
655,135,3,4188,,,
656,4,2,126,,,
657,4,2,126,,,
658,42,4,1306,,,
659,3,2,95,,,
660,6,2,188,,,
661,1,2,33,,,
662,5,4,159,,,
663,197,2,6109,,,
664,197,2,6109,,,
665,1,3,34,,,
666,1,3,34,,,
667,4,4,128,,,
668,5,3,158,,,
669,166,3,5149,,,
670,42,3,1305,,,
671,104,2,3226,,,
672,166,3,5149,,,
673,73,2,2265,,,
674,135,3,4188,,,
675,166,3,5149,,,
676,42,2,1304,,,
677,1,4,35,,,
678,166,4,5150,,,
679,4,4,128,,,
680,135,2,4187,,,
681,1,2,33,,,
682,1,2,33,,,
683,73,2,2265,,,
684,166,4,5150,,,
685,166,3,5149,,,
686,104,4,3228,,,
687,135,2,4187,,,
688,166,4,5150,,,
689,42,3,1305,,,
690,166,4,5150,,,
691,104,2,3226,,,
692,197,2,6109,,,
693,73,3,2266,,,
694,2,4,66,,,
695,197,4,6111,,,
696,5,2,157,,,
697,6,2,188,,,
698,2,2,64,,,
699,104,4,3228,,,
700,104,2,3226,,,
701,6,3,189,,,
702,42,4,1306,,,
703,135,4,4189,,,
704,3,2,95,,,
705,42,4,1306,,,
706,6,2,188,,,
707,42,4,1306,,,
708,104,3,3227,,,
709,135,3,4188,,,
710,104,4,3228,,,
711,2,4,66,,,
712,73,3,2266,,,
713,104,3,3227,,,
714,104,3,3227,,,
715,2,4,66,,,
716,6,3,189,,,
717,42,2,1304,,,
718,104,3,3227,,,
719,5,3,158,,,
720,135,4,4189,,,
721,5,2,157,,,
722,6,3,189,,,
723,166,2,5148,,,
724,166,4,5150,,,
725,2,4,66,,,
726,104,3,3227,,,
727,197,4,6111,,,
728,5,4,159,,,
729,73,3,2266,,,
730,3,2,95,,,
731,3,3,96,,,
732,42,3,1305,,,
733,135,3,4188,,,
734,73,2,2265,,,
735,104,3,3227,,,
736,166,2,5148,,,
737,135,3,4188,,,
738,3,4,97,,,
739,4,4,128,,,
740,5,3,158,,,
741,166,2,5148,,,
742,197,2,6109,,,
743,3,4,97,,,
744,104,4,3228,,,
745,2,4,66,,,
746,166,4,5150,,,
747,4,2,126,,,
748,104,3,3227,,,
749,197,2,6109,,,
750,2,2,64,,,
751,197,3,6110,,,
752,42,2,1304,,,
753,104,4,3228,,,
754,197,2,6109,,,
755,6,2,188,,,
756,42,3,1305,,,
757,2,3,65,,,
758,5,2,157,,,
759,6,3,189,,,
760,4,4,128,,,
761,2,2,64,,,
762,166,4,5150,,,
763,42,4,1306,,,
764,2,2,64,,,
765,104,2,3226,,,
766,73,3,2266,,,
767,3,3,96,,,
768,4,2,126,,,
769,197,2,6109,,,
770,166,4,5150,,,
771,166,3,5149,,,
772,135,4,4189,,,
773,166,2,5148,,,
774,166,2,5148,,,
775,42,4,1306,,,
776,5,4,159,,,
777,3,2,95,,,
778,2,4,66,,,
779,4,3,127,,,
780,135,3,4188,,,
781,135,4,4189,,,
782,166,4,5150,,,
783,73,3,2266,,,
784,2,2,64,,,
785,73,2,2265,,,
786,5,2,157,,,
787,5,3,158,,,
788,5,3,158,,,
789,135,4,4189,,,
790,135,2,4187,,,
791,2,2,64,,,
792,166,3,5149,,,
793,166,2,5148,,,
794,5,3,158,,,
795,104,4,3228,,,
796,4,4,128,,,
797,1,2,33,,,
798,1,4,35,,,
799,197,2,6109,,,
800,42,2,1304,,,
801,1,2,33,,,
802,135,4,4189,,,
803,5,3,158,,,
804,6,3,189,,,
805,6,3,189,,,
806,1,2,33,,,
807,5,3,158,,,
808,197,2,6109,,,
809,5,4,159,,,
810,104,3,3227,,,
811,104,2,3226,,,
812,4,2,126,,,
813,4,4,128,,,
814,3,4,97,,,
815,135,2,4187,,,
816,135,2,4187,,,
817,2,3,65,,,
818,5,3,158,,,
819,166,2,5148,,,
820,3,3,96,,,
821,6,2,188,,,
822,104,4,3228,,,
823,2,4,66,,,
824,166,3,5149,,,
825,104,4,3228,,,
826,6,2,188,,,
827,5,2,157,,,
828,6,3,189,,,
829,1,4,35,,,
830,5,3,158,,,
831,3,4,97,,,
832,104,3,3227,,,
833,166,4,5150,,,
834,6,2,188,,,
835,166,2,5148,,,
836,2,4,66,,,
837,1,4,35,,,
838,73,3,2266,,,
839,3,4,97,,,
840,135,4,4189,,,
841,1,2,33,,,
842,1,4,35,,,
843,135,3,4188,,,
844,73,4,2267,,,
845,135,3,4188,,,
846,73,4,2267,,,
847,6,2,188,,,
848,2,2,64,,,
849,3,2,95,,,
850,6,3,189,,,
851,1,2,33,,,
852,1,2,33,,,
853,135,3,4188,,,
854,4,4,128,,,
855,42,4,1306,,,
856,42,3,1305,,,
857,6,2,188,,,
858,42,3,1305,,,
859,6,4,190,,,
860,1,2,33,,,
861,4,3,127,,,
862,4,4,128,,,
863,4,2,126,,,
864,4,2,126,,,
865,166,4,5150,,,
866,135,4,4189,,,
867,1,3,34,,,
868,42,2,1304,,,
869,197,3,6110,,,
870,42,3,1305,,,
871,2,2,64,,,
872,5,3,158,,,
873,42,4,1306,,,
874,5,4,159,,,
875,5,4,159,,,
876,1,2,33,,,
877,4,2,126,,,
878,197,2,6109,,,
879,166,4,5150,,,
880,197,2,6109,,,
881,3,4,97,,,
882,3,3,96,,,
883,4,2,126,,,
884,6,4,190,,,
885,166,4,5150,,,
886,5,2,157,,,
887,166,4,5150,,,
888,4,4,128,,,
889,4,2,126,,,
890,2,2,64,,,
891,5,3,158,,,
892,135,2,4187,,,
893,5,3,158,,,
894,6,3,189,,,
895,135,4,4189,,,
896,5,3,158,,,
897,197,3,6110,,,
898,4,3,127,,,
899,1,4,35,,,
900,73,4,2267,,,
901,6,4,190,,,
902,5,2,157,,,
903,42,3,1305,,,
904,1,2,33,,,
905,5,2,157,,,
906,104,4,3228,,,
907,73,3,2266,,,
908,2,3,65,,,
909,5,3,158,,,
910,166,4,5150,,,
911,42,3,1305,,,
912,197,4,6111,,,
913,2,4,66,,,
914,104,3,3227,,,
915,2,2,64,,,
916,104,3,3227,,,
917,135,4,4189,,,
918,4,3,127,,,
919,166,2,5148,,,
920,4,2,126,,,
921,6,2,188,,,
922,166,3,5149,,,
923,3,3,96,,,
924,4,4,128,,,
925,6,3,189,,,
926,4,2,126,,,
927,73,4,2267,,,
928,197,4,6111,,,
929,6,4,190,,,
930,42,2,1304,,,
931,166,4,5150,,,
932,135,3,4188,,,
933,5,2,157,,,
934,3,4,97,,,
935,166,4,5150,,,
936,1,2,33,,,
937,4,4,128,,,
938,42,2,1304,,,
939,73,4,2267,,,
940,197,3,6110,,,
941,4,4,128,,,
942,197,4,6111,,,
943,4,4,128,,,
944,104,3,3227,,,
945,42,4,1306,,,
946,4,4,128,,,
947,197,2,6109,,,
948,104,2,3226,,,
949,6,4,190,,,
950,5,3,158,,,
951,3,2,95,,,
952,104,2,3226,,,
953,5,2,157,,,
954,73,2,2265,,,
955,166,3,5149,,,
956,197,3,6110,,,
957,73,3,2266,,,
958,6,4,190,,,
959,73,3,2266,,,
960,4,3,127,,,
961,104,4,3228,,,
962,73,2,2265,,,
963,166,2,5148,,,
964,135,3,4188,,,
965,73,4,2267,,,
966,197,2,6109,,,
967,2,4,66,,,
968,4,3,127,,,
969,1,2,33,,,
970,5,4,159,,,
971,104,2,3226,,,
972,5,2,157,,,
973,4,2,126,,,
974,3,3,96,,,
975,4,2,126,,,
976,42,2,1304,,,
977,166,3,5149,,,
978,2,3,65,,,
979,42,4,1306,,,
980,4,2,126,,,
981,1,3,34,,,
982,4,2,126,,,
983,166,2,5148,,,
984,4,3,127,,,
985,2,4,66,,,
986,3,3,96,,,
987,166,2,5148,,,
988,2,4,66,,,
989,5,3,158,,,
990,2,3,65,,,
991,3,2,95,,,
992,2,2,64,,,
993,42,3,1305,,,
994,42,4,1306,,,
995,3,2,95,,,
996,73,3,2266,,,
997,73,2,2265,,,
998,5,3,158,,,
999,135,2,4187,,,
Iteration,Pancake Values,Syrup Values,PancakeAndSyrup Values,,,
0,10,3,313,,,
1,8,3,251,,,
2,3,2,95,,,
3,10,4,314,,,
4,2,3,65,,,
5,11,4,345,,,
6,10,4,314,,,
7,11,4,345,,,
8,9,3,282,,,
9,11,2,343,,,
10,3,4,97,,,
11,10,2,312,,,
12,8,3,251,,,
13,1,4,35,,,
14,5,3,158,,,
15,3,2,95,,,
16,6,3,189,,,
17,5,2,157,,,
18,2,3,65,,,
19,1,3,34,,,
20,5,3,158,,,
21,4,2,126,,,
22,10,2,312,,,
23,7,3,220,,,
24,8,4,252,,,
25,6,4,190,,,
26,6,2,188,,,
27,9,2,281,,,
28,6,2,188,,,
29,10,3,313,,,
30,6,4,190,,,
31,9,4,283,,,
32,3,4,97,,,
33,10,4,314,,,
34,2,3,65,,,
35,3,3,96,,,
36,7,3,220,,,
37,6,2,188,,,
38,6,4,190,,,
39,9,4,283,,,
40,3,2,95,,,
41,9,4,283,,,
42,1,2,33,,,
43,6,4,190,,,
44,3,3,96,,,
45,1,2,33,,,
46,8,3,251,,,
47,1,4,35,,,
48,7,3,220,,,
49,2,2,64,,,
50,9,4,283,,,
51,6,4,190,,,
52,2,2,64,,,
53,4,2,126,,,
54,3,2,95,,,
55,5,3,158,,,
56,9,2,281,,,
57,11,2,343,,,
58,7,3,220,,,
59,6,2,188,,,
60,1,2,33,,,
61,5,3,158,,,
62,9,3,282,,,
63,6,3,189,,,
64,9,3,282,,,
65,11,4,345,,,
66,11,4,345,,,
67,4,2,126,,,
68,4,4,128,,,
69,6,2,188,,,
70,5,4,159,,,
71,4,4,128,,,
72,8,4,252,,,
73,4,3,127,,,
74,8,2,250,,,
75,6,4,190,,,
76,8,4,252,,,
77,4,2,126,,,
78,7,2,219,,,
79,10,2,312,,,
80,10,2,312,,,
81,11,4,345,,,
82,7,2,219,,,
83,5,2,157,,,
84,10,4,314,,,
85,10,3,313,,,
86,8,2,250,,,
87,7,4,221,,,
88,10,4,314,,,
89,6,4,190,,,
90,9,3,282,,,
91,11,4,345,,,
92,9,3,282,,,
93,6,4,190,,,
94,7,2,219,,,
95,2,2,64,,,
96,8,4,252,,,
97,2,2,64,,,
98,4,3,127,,,
99,2,3,65,,,
100,11,3,344,,,
101,8,4,252,,,
102,1,3,34,,,
103,6,2,188,,,
104,7,3,220,,,
105,6,2,188,,,
106,1,3,34,,,
107,6,4,190,,,
108,6,3,189,,,
109,1,3,34,,,
110,4,3,127,,,
111,8,4,252,,,
112,8,3,251,,,
113,3,3,96,,,
114,9,2,281,,,
115,11,2,343,,,
116,10,4,314,,,
117,9,2,281,,,
118,6,4,190,,,
119,6,3,189,,,
120,10,3,313,,,
121,4,3,127,,,
122,6,2,188,,,
123,6,3,189,,,
124,9,4,283,,,
125,8,3,251,,,
126,2,2,64,,,
127,3,4,97,,,
128,10,3,313,,,
129,6,4,190,,,
130,11,3,344,,,
131,11,3,344,,,
132,6,2,188,,,
133,2,2,64,,,
134,3,2,95,,,
135,6,3,189,,,
136,9,2,281,,,
137,7,3,220,,,
138,3,2,95,,,
139,10,3,313,,,
140,6,3,189,,,
141,4,2,126,,,
142,6,3,189,,,
143,3,4,97,,,
144,7,2,219,,,
145,2,4,66,,,
146,6,4,190,,,
147,1,3,34,,,
148,5,2,157,,,
149,7,3,220,,,
150,8,2,250,,,
151,2,3,65,,,
152,10,4,314,,,
153,11,3,344,,,
154,7,3,220,,,
155,6,2,188,,,
156,7,4,221,,,
157,1,2,33,,,
158,11,4,345,,,
159,8,4,252,,,
160,7,4,221,,,
161,6,3,189,,,
162,8,3,251,,,
163,10,3,313,,,
164,11,3,344,,,
165,5,4,159,,,
166,8,4,252,,,
167,1,2,33,,,
168,6,3,189,,,
169,6,4,190,,,
170,6,3,189,,,
171,4,3,127,,,
172,4,2,126,,,
173,5,2,157,,,
174,7,2,219,,,
175,4,2,126,,,
176,6,2,188,,,
177,3,4,97,,,
178,6,4,190,,,
179,10,2,312,,,
180,4,2,126,,,
181,7,2,219,,,
182,6,2,188,,,
183,6,4,190,,,
184,6,3,189,,,
185,8,3,251,,,
186,10,3,313,,,
187,6,4,190,,,
188,6,3,189,,,
189,9,3,282,,,
190,9,3,282,,,
191,8,3,251,,,
192,9,4,283,,,
193,5,2,157,,,
194,11,2,343,,,
195,4,3,127,,,
196,1,2,33,,,
197,3,4,97,,,
198,11,2,343,,,
199,6,3,189,,,
200,8,4,252,,,
201,1,3,34,,,
202,7,3,220,,,
203,3,4,97,,,
204,3,2,95,,,
205,6,4,190,,,
206,6,4,190,,,
207,3,4,97,,,
208,7,4,221,,,
209,7,3,220,,,
210,8,4,252,,,
211,4,3,127,,,
212,7,3,220,,,
213,6,4,190,,,
214,8,2,250,,,
215,5,3,158,,,
216,6,3,189,,,
217,11,3,344,,,
218,6,3,189,,,
219,11,3,344,,,
220,8,4,252,,,
221,6,4,190,,,
222,1,2,33,,,
223,10,3,313,,,
224,7,4,221,,,
225,6,3,189,,,
226,7,3,220,,,
227,6,3,189,,,
228,6,3,189,,,
229,2,2,64,,,
230,5,4,159,,,
231,11,4,345,,,
232,10,3,313,,,
233,9,2,281,,,
234,6,4,190,,,
235,7,2,219,,,
236,10,4,314,,,
237,6,4,190,,,
238,7,4,221,,,
239,3,2,95,,,
240,6,3,189,,,
241,9,2,281,,,
242,5,3,158,,,
243,10,4,314,,,
244,1,4,35,,,
245,3,2,95,,,
246,1,4,35,,,
247,3,3,96,,,
248,5,3,158,,,
249,6,4,190,,,
250,6,2,188,,,
251,11,4,345,,,
252,8,2,250,,,
253,11,3,344,,,
254,9,4,283,,,
255,2,4,66,,,
256,11,4,345,,,
257,6,3,189,,,
258,7,2,219,,,
259,9,2,281,,,
260,3,3,96,,,
261,11,3,344,,,
262,4,2,126,,,
263,10,3,313,,,
264,11,4,345,,,
265,1,4,35,,,
266,1,2,33,,,
267,6,2,188,,,
268,2,4,66,,,
269,1,2,33,,,
270,11,3,344,,,
271,6,2,188,,,
272,2,4,66,,,
273,1,4,35,,,
274,5,2,157,,,
275,3,2,95,,,
276,6,2,188,,,
277,5,4,159,,,
278,2,2,64,,,
279,3,4,97,,,
280,7,3,220,,,
281,9,4,283,,,
282,6,2,188,,,
283,7,2,219,,,
284,6,4,190,,,
285,11,3,344,,,
286,11,4,345,,,
287,8,2,250,,,
288,10,4,314,,,
289,3,3,96,,,
290,10,2,312,,,
291,2,3,65,,,
292,7,2,219,,,
